hospital,contact_number,latitude,longitude,total_beds,available_beds,avg_daily_patients,critical_patients,ventilators,waiting_queue,icu_specialist_count,oxygen_supply_pct,last_updated,district,address,hospital_type
Taluk General Hospital Periyapatna,+91-08225-252001,12.337249,76.098801,154,25,60,10,30,4,12,83.3,2026-07-04 13:45,Mysuru,"Periyapatna, Mysuru, Karnataka",Government
Taluk General Hospital H D Kote,+91-08228-232001,12.087726,76.331058,87,5,59,21,41,3,5,85.6,2026-07-04 13:45,Mysuru,"H D Kote, Mysuru, Karnataka",Government
Taluk General Hospital K R Nagar,+91-08223-232001,12.440022,76.381061,309,38,97,13,9,7,14,78.3,2026-07-04 13:45,Mysuru,"K R Nagar, Mysuru, Karnataka",Government
CHC Heggadadevankote,+91-08228-232002,12.000321,76.396815,274,43,186,22,38,0,12,97.0,2026-07-04 13:45,Mysuru,"Heggadadevankote, Mysuru, Karnataka",Government
Mandya Institute of Medical Sciences,+91-08232-222001,12.527142,76.901084,103,9,63,5,11,17,7,77.9,2026-07-04 13:45,Mandya,"Mandya, Karnataka",Government
District Hospital Mandya,+91-08232-222002,12.516658,76.89398,157,26,56,23,45,8,18,77.3,2026-07-04 13:45,Mandya,"Mandya, Karnataka",Government
Taluk General Hospital Maddur,+91-08234-252001,12.584898,77.044868,76,6,70,15,22,1,3,79.7,2026-07-04 13:45,Mandya,"Maddur, Mandya, Karnataka",Government
Taluk General Hospital Malavalli,+91-08233-272001,12.386407,77.058946,116,25,63,7,33,17,16,86.3,2026-07-04 13:45,Mandya,"Malavalli, Mandya, Karnataka",Government
Taluk General Hospital Nagamangala,+91-08236-272001,12.819608,76.754219,107,7,49,19,7,11,7,82.5,2026-07-04 13:45,Mandya,"Nagamangala, Mandya, Karnataka",Government
Taluk General Hospital Pandavapura,+91-08236-252001,12.501141,76.67315,71,9,53,3,27,6,10,89.3,2026-07-04 13:45,Mandya,"Pandavapura, Mandya, Karnataka",Government
Taluk General Hospital Srirangapatna,+91-08236-252002,12.422644,76.684931,231,54,173,15,44,4,10,95.1,2026-07-04 13:45,Mandya,"Srirangapatna, Mandya, Karnataka",Government
Hassan Institute of Medical Sciences,+91-08172-268011,13.004741,76.102372,177,22,70,24,11,12,4,94.9,2026-07-04 13:45,Hassan,"Hassan, Karnataka",Government
District Hospital Hassan,+91-08172-262001,13.005176,76.103972,163,17,147,13,24,7,10,70.7,2026-07-04 13:45,Hassan,"Hassan, Karnataka",Government
Taluk General Hospital Arsikere,+91-08174-252001,13.313782,76.253199,148,30,72,10,9,8,14,88.6,2026-07-04 13:45,Hassan,"Arsikere, Hassan, Karnataka",Government
Taluk General Hospital Belur,+91-08177-252001,13.164567,75.863485,254,48,245,19,26,0,6,95.4,2026-07-04 13:45,Hassan,"Belur, Hassan, Karnataka",Government
Taluk General Hospital Sakleshpur,+91-08173-252001,12.943435,75.786232,183,16,178,10,7,3,16,80.0,2026-07-04 13:45,Hassan,"Sakleshpur, Hassan, Karnataka",Government
Taluk General Hospital Channarayapatna,+91-08176-252001,12.892458,76.393886,273,5,163,19,48,6,14,82.5,2026-07-04 13:45,Hassan,"Channarayapatna, Hassan, Karnataka",Government
Taluk General Hospital Alur,+91-08172-262002,12.978832,75.993578,219,44,110,23,12,9,12,89.3,2026-07-04 13:45,Hassan,"Alur, Hassan, Karnataka",Government
Kodagu Institute of Medical Sciences,+91-08272-225001,12.441902,75.740369,217,30,208,11,40,4,9,82.2,2026-07-04 13:45,Kodagu,"Madikeri, Kodagu, Karnataka",Government
District Hospital Madikeri,+91-08272-225002,12.418767,75.742245,244,48,221,7,44,18,12,81.8,2026-07-04 13:45,Kodagu,"Madikeri, Kodagu, Karnataka",Government
Taluk General Hospital Virajpet,+91-08274-252001,12.197271,75.803342,50,9,39,8,32,18,13,83.5,2026-07-04 13:45,Kodagu,"Virajpet, Kodagu, Karnataka",Government
Taluk General Hospital Somwarpet,+91-08276-252001,12.597188,75.846687,276,32,160,17,15,2,12,84.9,2026-07-04 13:45,Kodagu,"Somwarpet, Kodagu, Karnataka",Government
Chikkamagaluru Institute of Medical Sciences,+91-08262-222001,13.40587,75.638758,221,10,90,23,24,7,9,74.3,2026-07-04 13:45,Chikkamagaluru,"Chikkamagaluru, Karnataka",Government
District Hospital Chikkamagaluru,+91-08262-220001,13.315619,75.775661,73,8,60,21,9,14,16,95.7,2026-07-04 13:45,Chikkamagaluru,"Chikkamagaluru, Karnataka",Government
Taluk General Hospital Kadur,+91-08267-252001,13.550251,76.008702,344,29,226,17,30,7,7,89.0,2026-07-04 13:45,Chikkamagaluru,"Kadur, Chikkamagaluru, Karnataka",Government
Taluk General Hospital Tarikere,+91-08261-252001,13.706231,75.818356,52,6,43,9,16,16,17,71.5,2026-07-04 13:45,Chikkamagaluru,"Tarikere, Chikkamagaluru, Karnataka",Government
Taluk General Hospital Mudigere,+91-08263-252001,13.133334,75.641918,177,12,146,6,34,16,13,97.6,2026-07-04 13:45,Chikkamagaluru,"Mudigere, Chikkamagaluru, Karnataka",Government
Taluk General Hospital Koppa,+91-08265-252001,13.533207,75.363399,276,69,139,19,33,5,18,83.1,2026-07-04 13:45,Chikkamagaluru,"Koppa, Chikkamagaluru, Karnataka",Government
Taluk General Hospital Sringeri,+91-08265-262001,13.426172,75.255369,176,22,163,17,45,7,11,82.8,2026-07-04 13:45,Chikkamagaluru,"Sringeri, Chikkamagaluru, Karnataka",Government
Taluk General Hospital Narasimharajapura,+91-08262-242001,13.610796,75.51173,196,20,99,12,25,17,5,74.0,2026-07-04 13:45,Chikkamagaluru,"Narasimharajapura, Chikkamagaluru, Karnataka",Government
Shivamogga Institute of Medical Sciences,+91-08182-227777,13.932609,75.574978,168,29,69,24,18,2,16,81.8,2026-07-04 13:45,Shivamogga,"Shivamogga, Karnataka",Government
McGann District Hospital Shivamogga,+91-08182-222001,13.932609,75.574978,327,64,242,3,18,13,15,96.2,2026-07-04 13:45,Shivamogga,"Shivamogga, Karnataka",Government
Taluk General Hospital Bhadravathi,+91-08181-222001,13.850207,75.703786,349,7,324,14,35,0,14,78.7,2026-07-04 13:45,Shivamogga,"Bhadravathi, Shivamogga, Karnataka",Government
Taluk General Hospital Thirthahalli,+91-08185-222001,13.690314,75.240754,249,59,243,15,39,17,10,84.2,2026-07-04 13:45,Shivamogga,"Thirthahalli, Shivamogga, Karnataka",Government
Taluk General Hospital Hosanagara,+91-08183-256001,13.916789,75.065795,189,32,154,2,29,10,15,91.0,2026-07-04 13:45,Shivamogga,"Hosanagara, Shivamogga, Karnataka",Government
Taluk General Hospital Sagar,+91-08183-222001,13.93732,75.557018,289,21,281,21,39,0,15,87.2,2026-07-04 13:45,Shivamogga,"Sagar, Shivamogga, Karnataka",Government
Taluk General Hospital Shikaripura,+91-08187-222001,14.263966,75.35878,63,6,50,15,13,14,8,71.5,2026-07-04 13:45,Shivamogga,"Shikaripura, Shivamogga, Karnataka",Government
Taluk General Hospital Sorab,+91-08184-252001,14.174819,75.029293,244,25,84,16,25,10,15,78.1,2026-07-04 13:45,Shivamogga,"Sorab, Shivamogga, Karnataka",Government
JJM Medical College Hospital Davanagere,+91-08192-231001,14.255883,75.830342,265,21,243,4,35,0,4,99.0,2026-07-04 13:45,Davanagere,"Davanagere, Karnataka",Government
Chigateri District Hospital Davanagere,+91-08192-231002,14.456983,75.915621,229,19,196,4,46,1,3,97.5,2026-07-04 13:45,Davanagere,"Davanagere, Karnataka",Government
SS Institute of Medical Sciences Davanagere,+91-08192-208888,14.255883,75.830342,152,6,109,6,20,4,18,89.4,2026-07-04 13:45,Davanagere,"Davanagere, Karnataka",Government
Taluk General Hospital Channagiri,+91-08195-222001,14.0252,75.925,338,32,268,24,21,11,8,87.6,2026-07-04 13:45,Davanagere,"Channagiri, Davanagere, Karnataka",Government
Taluk General Hospital Honnali,+91-08193-222001,14.238978,75.645743,108,10,69,5,42,0,12,86.7,2026-07-04 13:45,Davanagere,"Honnali, Davanagere, Karnataka",Government
Taluk General Hospital Jagalur,+91-08196-222001,14.469637,76.353824,242,30,213,8,9,18,10,73.0,2026-07-04 13:45,Davanagere,"Jagalur, Davanagere, Karnataka",Government
Taluk General Hospital Harapanahalli,+91-08197-222001,14.78192,75.99012,204,48,183,5,41,1,14,85.4,2026-07-04 13:45,Davanagere,"Harapanahalli, Davanagere, Karnataka",Government
Basaveshwara Medical College Chitradurga,+91-08194-235001,14.304917,76.529667,239,9,159,22,26,0,16,93.8,2026-07-04 13:45,Chitradurga,"Chitradurga, Karnataka",Government
District Hospital Chitradurga,+91-08194-222001,14.220476,76.405533,104,18,76,22,34,4,16,75.1,2026-07-04 13:45,Chitradurga,"Chitradurga, Karnataka",Government
Taluk General Hospital Challakere,+91-08195-252001,14.316406,76.650414,317,39,305,17,34,13,11,79.3,2026-07-04 13:45,Chitradurga,"Challakere, Chitradurga, Karnataka",Government
